national_rank,state_rank,yield,field_state,class,till_maturity_days,date_planted,date_harvested,planting_rate,row_spacing,nitrogen,phosphorus,potash,trace_element,manure,harvester_make,total_acres,acres_harvested,total_bushels_harvested,bushels_per_acres,acres_harvested_recheck,total_bushels_harvested_recheck,bushels_per_acres_recheck
8,1,324.8316,CA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",114,2019-04-12,2019-09-27,35000,30,320,150,280,"S:null, B:null, Zn:null",NA,Case IH,12,1.2824,423.6585,330.3638,1.5864,515.3128,324.8316
*,*,318.8326,DE,G:No-Till Irrigated Class,112,2019-04-29,2019-09-09,44000,30,350,15,230,NA,NA,Case IH,30,1.3184,408.2779,309.6768,1.3235,421.975,318.8326
5,1,320.1008,DE,G:No-Till Irrigated Class,114,2019-04-29,2019-09-09,44000,30,350,15,230,NA,NA,Case IH,30,1.3035,418.2954,320.9017,1.2645,404.7675,320.1008
16,1,317.2802,PA,I:Conventional Irrigated Class,117,2019-04-10,2019-10-11,35000,30,350,50,100,NA,NA,John Deere,60,1.4518,460.0904,316.9103,1.4527,460.9129,317.2802
8,4,307.9441,IL,B:Conventional Non-Irrigated Class,113,2019-05-18,2019-11-08,37000,30,0,0,0,NA,NA,John Deere,122,1.2645,385.7396,305.0531,1.2645,389.3953,307.9441
29*,11,296.4425,PA,C:No-Till Non-Irrigated Class,112,2019-04-29,2019-10-17,37200,30,250,0,0,NA,Cattle:6200gal,Case IH,12,1.3248,397.5,300.0453,1.3579,402.5393,296.4425
13*,5*,308.0178,PA,C:No-Till Non-Irrigated Class,113,2019-04-29,2019-10-17,37200,30,250,0,0,NA,Cattle:6200gal,Case IH,12,1.4242,448.1061,314.6371,1.4449,445.0549,308.0178
30*,1,295.9138,NE,C:No-Till Non-Irrigated Class,110,2019-04-13,2019-09-20,44000,30,225,50,25,NA,NA,John Deere,200,1.5909,478.1834,300.5741,1.5909,470.7692,295.9138
11,4,309.8409,PA,C:No-Till Non-Irrigated Class,112,2019-04-19,2019-09-30,36000,30,200,50,90,Zn:2lbs,Poultry:6tons,John Deere,40,1.272,404.7836,318.2261,1.2813,396.9992,309.8409
17,6,301.5865,PA,C:No-Till Non-Irrigated Class,118,2019-04-18,2019-10-11,36000,30,150,80,120,Zn:2lbs,Poultry:5tons,John Deere,20,1.4976,457.4822,305.4769,1.5072,454.5511,301.5865
1,1,323.0605,MO,B:Conventional Non-Irrigated Class,114,2019-04-14,2019-10-08,32000,30,275,150,180,"S:25lbs, Zn:2lbs",NA,Claas,110,1.2935,405.642,313.6003,1.5214,491.5042,323.0605
15,1,305.8587,SC,G:No-Till Irrigated Class,112,2019-04-22,2019-09-04,38000,30,425,175,300,NA,Poultry:3tons,John Deere,10,1.2961,403.5822,311.382,1.2934,395.5976,305.8587
11,1,304.9298,IA,B:Conventional Non-Irrigated Class,113,2019-05-24,2019-10-28,35000,30,0,0,0,NA,NA,John Deere,80,1.5161,465.7861,307.2265,1.5152,462.0296,304.9298
14*,1,314.7107,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-23,2019-10-23,34000,30,270,80,60,NA,Cattle:3100gal,John Deere,10,2.103,692.2316,329.1639,2.18,686.0693,314.7107
42*,7,290.1357,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",117,2019-04-23,2019-10-23,34000,30,270,80,60,NA,Cattle:3100gal,John Deere,10,2.103,639.7802,304.2226,2.2066,640.2134,290.1357
11,1,307.9723,MD,A:Conventional Non-Irrigated Class,111,2019-05-03,2019-10-11,35000,30,290,150,250,B:2null,NA,John Deere,30,1.2862,394.6357,306.823,1.2658,389.8314,307.9723
*,1,358.4534,MI,I:Conventional Irrigated Class,105,2019-05-17,2019-11-19,52000,30,386,98,400,NA,NA,Case IH,34,1.3769,497.2094,361.1079,1.3769,493.5545,358.4534
3,*,356.2862,MI,A:Conventional Non-Irrigated Class,104,2019-05-16,2019-11-14,33000,30,337,85,400,NA,NA,Case IH,68,1.2694,450.3297,354.7579,1.2694,452.2697,356.2862
13*,*,324.1101,MI,I:Conventional Irrigated Class,105,2019-05-22,2019-11-23,42500,30,300,84,100,NA,NA,Case IH,55,1.4199,453.1192,319.1205,1.4199,460.2039,324.1101
8,1,316.8435,KY,G:No-Till Irrigated Class,117,2019-04-30,2019-09-07,32500,30,260,100,100,NA,Poultry:1tons,Case IH,80,1.2534,394.4873,314.7338,1.3269,420.4197,316.8435
7,1,321.0063,MA,A:Conventional Non-Irrigated Class,98,2019-05-18,2019-11-06,40000,30,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,John Deere,60,1.2741,411.7589,323.1763,1.2741,408.9941,321.0063
5,1,324.3783,MA,C:No-Till Non-Irrigated Class,98,2019-05-19,2019-11-14,40000,30,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,John Deere,27,1.2741,422.4051,331.5321,1.2741,413.2904,324.3783
27,1,307.8301,MA,I:Conventional Irrigated Class,99,2019-05-20,2019-11-07,40000,30,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,John Deere,30,1.2741,420.9637,330.4008,1.2741,392.2063,307.8301
7,1,302.156,MA,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",99,2019-05-21,2019-11-05,40000,30,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,John Deere,60,1.2741,409.621,321.4983,1.2741,384.977,302.156
19,1,314.9936,IL,I:Conventional Irrigated Class,114,2019-05-10,2019-09-26,38000,30,300,40,75,Other:5lbs,NA,John Deere,29,1.2626,396.8521,314.3134,1.2626,397.7109,314.9936
4,1,355.2024,MI,A:Conventional Non-Irrigated Class,104,2019-05-17,2019-11-14,32500,30,337,85,400,NA,NA,Case IH,68,1.2694,406.656,320.3529,1.2694,450.8939,355.2024
7,3,308.2772,IL,B:Conventional Non-Irrigated Class,118,2019-04-22,2019-09-10,36000,30,300,100,125,S:60lbs,NA,Case IH,42,1.3588,417.4446,307.2156,1.2741,392.776,308.2772
42,14,289.2021,PA,C:No-Till Non-Irrigated Class,112,2019-04-29,2019-09-30,36000,30,0,0,0,NA,NA,John Deere,18,1.4077,433.7426,308.1215,1.4931,431.8077,289.2021
4,1,359.0652,CA,I:Conventional Irrigated Class,118,2019-03-28,2019-09-06,41000,30,350,60,120,NA,Cattle:6gal,Case IH,32,1.6226,586.8377,361.665,1.6226,582.6192,359.0652
*,*,358.2279,CA,I:Conventional Irrigated Class,118,2019-03-29,2019-09-06,41000,30,350,60,120,NA,Cattle:6tons,Case IH,37,1.4839,529.8698,357.0792,1.4839,531.5744,358.2279
29*,1,305.2389,SC,I:Conventional Irrigated Class,118,2019-03-21,2019-08-02,38000,30,270,40,100,S:35lbs,Broiler:2.5tons,Case IH,90,1.4692,449.1067,305.6811,1.4784,451.2652,305.2389
13,2,315.932,WA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",112,2019-04-18,2019-11-04,38500,30,325,0,0,NA,NA,John Deere,98,1.3774,439.6302,319.174,1.3774,435.1648,315.932
15,1,319.6575,IN,I:Conventional Irrigated Class,114,2019-05-08,2019-09-13,38000,30,350,115,180,"B:2lbs, Zn:1.5lbs",NA,John Deere,40,1.3094,415.5578,317.3651,1.6391,523.9506,319.6575
