national_rank,state_rank,yield,field_state,class,till_maturity_days,date_planted,date_harvested,planting_rate,row_spacing,nitrogen,phosphorus,potash,trace_element,manure,harvester_make,total_acres,acres_harvested,total_bushels_harvested,bushels_per_acres,acres_harvested_recheck,total_bushels_harvested_recheck,bushels_per_acres_recheck
6,1,320.8325,TN,C:No-Till Non-Irrigated Class,111,2019-04-29,2019-09-05,38000,30,310,200,250,"B:3lbs, Mn:.7lbs, Zn:1lbs",NA,John Deere,32,1.2925,404.3897,312.874,1.3073,419.4243,320.8325
20*,2,313.8092,IN,I:Conventional Irrigated Class,NA,2019-05-07,2019-09-13,36000,30,350,115,180,"B:2lbs, Zn:1.5",NA,John Deere,50,1.2603,389.5988,309.1318,1.2562,394.2071,313.8092
21*,*,313.7277,IN,I:Conventional Irrigated Class,NA,2019-05-08,2019-09-13,38000,30,350,115,180,"B:2lbs, Zn:1.5lbs",NA,John Deere,50,1.2558,381.9036,304.1118,1.2635,396.395,313.7277
19*,1,306.3421,SC,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-03-23,2019-08-07,36000,30,270,40,100,S:40lbs,Broiler:2.5tons,Case IH,55,1.5211,465.5727,306.0763,1.5294,468.5196,306.3421
6,1,314.5543,OH,B:Conventional Non-Irrigated Class,113,2019-05-21,2019-10-11,37661,20,330,75,70,"S:60lbs, Zn:1.5gal",NA,Fendt,129,1.3326,405.1775,304.0504,1.3326,419.175,314.5543
*,*,310.2119,OH,B:Conventional Non-Irrigated Class,108,2019-04-16,2019-09-23,39220,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,205,1.2738,393.8817,309.2179,1.2738,395.1479,310.2119
22,1,313.4765,TX,I:Conventional Irrigated Class,118,2019-05-25,2019-10-15,40000,20,0,0,0,NA,NA,Case IH,120,1.3561,416.2278,306.93,1.2803,401.344,313.4765
17,1,304.7604,PA,G:No-Till Irrigated Class,110,2019-04-27,2019-09-24,38000,30,220,0,0,NA,Swine:5000gal,John Deere,55,1.5859,482.1471,304.0211,1.4504,442.0245,304.7604
15*,1,311.3209,NM,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",108,2019-04-12,2019-10-24,38000,30,300,40,75,NA,NA,John Deere,70,1.3822,427.8124,309.5156,1.3776,428.8757,311.3209
5,1,346.7817,NJ,A:Conventional Non-Irrigated Class,114,2019-05-17,2019-10-10,38000,30,350,70,70,NA,NA,John Deere,15,1.2857,443.645,345.0611,1.2593,436.7022,346.7817
2,1,344.5161,NJ,C:No-Till Non-Irrigated Class,114,2019-05-17,2019-10-10,38000,30,350,70,70,NA,NA,John Deere,20,1.2881,432.1504,335.4944,1.2503,430.7485,344.5161
5,4,315.3229,NJ,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",111,2019-05-03,2019-09-30,37000,30,300,100,50,NA,NA,John Deere,30,1.3345,428.2661,320.9188,1.3365,421.429,315.3229
3,1,345.2847,NJ,G:No-Till Irrigated Class,111,2019-05-17,2019-10-10,40000,30,350,70,70,NA,NA,John Deere,20,1.2684,435.5325,343.3716,1.3114,452.8064,345.2847
13,1,307.1061,NE,G:No-Till Irrigated Class,115,2019-05-08,2019-10-15,34000,30,275,75,0,NA,NA,John Deere,44,1.7994,552.7012,307.1586,1.5681,481.5731,307.1061
4,2,329.5054,IA,G:No-Till Irrigated Class,113,2019-05-07,2019-11-01,40000,30,300,250,275,"B:1lbs, Mg:44lbs, S:105lbs",NA,John Deere,78,1.25,391.1538,312.923,1.25,411.8817,329.5054
2,1,357.7096,IA,G:No-Till Irrigated Class,114,2019-05-17,2019-11-05,38000,30,300,250,275,"B:3lbs, Mg:45lbs, S:100lbs",NA,John Deere,75,1.35,444.2485,329.073,1.35,482.9079,357.7096
5,1,355.7103,AL,I:Conventional Irrigated Class,120,2019-03-26,2019-08-31,37500,30,375,60,60,S:null,Broiler:2tons,John Deere,200,1.2548,379.3314,302.3043,1.2741,453.2105,355.7103
34,1,294.2616,KY,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-04-16,2019-09-11,36000,30,242,0,0,"S:16lbs, Zn:1.5lbs, B:.5lbs, Ca:18lbs",NA,John Deere,85,1.3609,408.8728,300.4429,1.3561,399.0482,294.2616
22,2,301.4908,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-18,2019-10-14,34000,30,201,75,50,S:15lbs,NA,Case IH,31,1.6921,511.6382,302.3688,1.5565,469.2705,301.4908
3,1,522.965,GA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-03-26,2019-07-27,38000,15,500,200,500,NA,Poultry:null,Case IH,40,1.7994,930.3533,517.0353,1.7626,921.7781,522.965
1,1,552.9674,GA,I:Conventional Irrigated Class,112,2019-03-27,2019-08-07,44000,15,500,200,500,NA,Poultry:,Case IH,80,1.7502,989.6639,565.4576,1.8797,1039.4128,552.9674
1,1,432.0448,GA,G:No-Till Irrigated Class,111,2019-04-01,2019-08-08,42000,15,450,150,450,NA,Poultry:null,Case IH,80,2.2548,947.1507,420.0597,2.0418,882.1491,432.0448
3,3,393.0513,GA,I:Conventional Irrigated Class,111,2019-03-27,2019-07-27,44000,15,450,100,450,NA,Poultry:null,Case IH,40,2.2296,867.2992,388.9932,2.3843,937.1521,393.0513
4,2,430.0318,GA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",112,2019-03-25,2019-08-08,40000,15,450,100,450,NA,Poultry:,Case IH,80,2.3907,1008.9024,422.0113,2.1253,913.9466,430.0318
15,1,306.323,VA,C:No-Till Non-Irrigated Class,120,2019-04-28,2019-10-04,36000,30,300,0,0,NA,Poultry:2tons,John Deere,59,1.272,395.6192,311.0214,1.272,389.6429,306.323
14,2,323.0273,WA,I:Conventional Irrigated Class,99,2019-04-25,2019-10-10,45000,30,300,140,400,NA,NA,John Deere,65,1.4022,442.6361,315.6726,1.4022,452.9489,323.0273
*,*,351.1243,VA,A:Conventional Non-Irrigated Class,114,2019-04-28,2019-09-20,38000,30,353,80,200,"B:1null, S:30null, Mn:2null, Fe:null",NA,Case,350,1.5,561.4066,374.2711,1.5,526.6864,351.1243
1,1,381.4666,VA,A:Conventional Non-Irrigated Class,118,2019-04-28,2019-09-24,38000,30,300,90,200,S:75lbs,NA,Case IH,20,1.5,504.9873,336.6582,1.5,572.1999,381.4666
30*,*,296.2357,OR,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",108,2019-04-25,2019-09-27,37000,30,362,22,87,"Mg:12.2lbs, Ca:27.2lbs, S:9.1lbs, Zn:.2lbs",Cattle:1292543.9gal,John Deere,119,1.332,401.7278,301.5974,1.332,394.586,296.2357
8,1,329.6217,OR,I:Conventional Irrigated Class,113,2019-04-27,2019-10-10,37481,30,326,63,220,"Mg:35.3lbs, Ca:96.1lbs, S:60.3, Zn:1.6lbs",Cattle:1455283gal,John Deere,119,1.5186,522.557,344.1044,1.5592,513.9462,329.6217
12*,2,317.4324,OR,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",105,2019-04-24,2019-10-04,40000,30,206,45,0,Ca:65.3lbs,NA,John Deere,150,1.5895,491.5385,309.241,1.5799,501.5115,317.4324
6,1,330.8047,OR,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",113,2019-05-01,2019-10-07,37307,30,270,1,0,S:48.3,NA,John Deere,122,1.5498,526.2609,339.567,1.5537,513.9713,330.8047
11,2,326.24,OR,I:Conventional Irrigated Class,113,2019-04-26,2019-10-10,37000,30,155,22,86,"Mg:12.1lbs, Ca:27.1lbs, S:9lbs, Zn:.2lbs",Cattle:1776000gal,John Deere,125,1.615,528.2764,327.1061,1.6116,525.7684,326.24
8,2,311.4301,NJ,C:No-Till Non-Irrigated Class,111,2019-05-12,2019-09-30,47000,15,150,0,0,NA,Poultry:2tons,John Deere,50,1.3524,420.8149,311.1616,1.3481,419.8389,311.4301
1,1,339.0991,NJ,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",111,2019-05-15,2019-10-11,48000,15,150,50,50,NA,Poultry:2tons,John Deere,60,1.4162,477.2418,336.9876,1.2624,428.0787,339.0991
17*,3,310.2291,VA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",111,2019-04-03,2019-08-30,33500,30,350,50,300,"B:1lbs, Zn:2lbs",NA,Case IH,75,1.2713,392.6703,308.873,1.2748,395.4801,310.2291
20*,4*,305.2894,VA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-04,2019-09-03,34000,30,350,50,300,"B:1lbs, Zn:2lbs",NA,Case IH,45,1.27,385.8284,303.8019,1.3264,404.9358,305.2894
23*,5*,300.1012,VA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-07,2019-08-27,33400,30,350,50,300,"B:1lbs, Zn:2lbs",NA,Case IH,122,1.5014,452.7156,301.529,1.4945,448.5013,300.1012
6,2,302.2533,PA,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",113,2019-05-01,2019-09-28,34000,30,340,160,300,NA,NA,John Deere,12,1.3836,424.4243,306.7536,1.2562,379.6906,302.2533
1,1,422.3521,MD,C:No-Till Non-Irrigated Class,118,2019-04-29,2019-10-15,38000,30,380,120,300,NA,NA,John Deere,14,1.2517,528.6648,422.3574,1.2517,528.6581,422.3521
26,3,308.6528,WA,I:Conventional Irrigated Class,101,2019-05-07,2019-10-09,38000,30,350,0,0,NA,NA,John Deere,40,1.449,455.4882,314.3466,1.4421,445.1082,308.6528
18,1,304.2934,NC,G:No-Till Irrigated Class,118,2019-04-30,2019-09-18,40000,22,300,225,300,NA,NA,John Deere,50,1.2553,382.615,304.7996,1.2513,380.7623,304.2934
4,3,315.3455,NJ,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",112,2019-05-02,2019-10-02,34000,30,0,0,0,NA,NA,Cat,19,1.3096,411.1902,313.9815,1.311,413.418,315.3455
33*,1,302.2696,VA,I:Conventional Irrigated Class,118,2019-04-20,2019-09-18,32000,30,320,50,240,"B:2pt, Zn:2pt, Mg:1pt",NA,John Deere,55,1.4298,430.1644,300.8563,1.4298,432.1851,302.2696
12*,*,308.7349,DE,G:No-Till Irrigated Class,112,2019-04-23,2019-09-05,37000,30,325,35,225,"S:45lbs, B:2lbs, Zn:1lbs",NA,Case IH,129,1.3919,430.003,308.9324,1.3926,429.9442,308.7349
11*,2,314.8987,DE,G:No-Till Irrigated Class,113,2019-04-23,2019-09-05,37000,30,325,35,225,"S:45lbs, B:2lbs, Zn:1lbs",NA,Case IH,129,1.3983,443.3432,317.0587,1.3983,440.3229,314.8987
7,1,327.7063,TN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-04-29,2019-09-11,41000,20,325,90,150,"S:40lbs, Zn:2lbs, B:1lbs",NA,John Deere,270,1.326,427.4861,322.3877,1.326,434.5385,327.7063
32,2,302.7646,NE,I:Conventional Irrigated Class,113,2019-04-23,2019-10-07,32000,30,240,8,0,S:40,NA,John Deere,91,1.3457,404.5055,300.5911,1.3457,407.4303,302.7646
31*,4*,303.4254,GA,I:Conventional Irrigated Class,112,2019-03-23,2019-08-09,36000,30,300,125,250,NA,Poultry:2tons,John Deere,195,1.2968,391.885,302.1939,1.2541,380.5258,303.4254
18,3,316.6188,OR,I:Conventional Irrigated Class,111,2019-04-25,2019-10-15,40000,30,374,160,134,"B:1.3lbs, Zn:5.4lbs, Mn:3lbs, Cu:2.8lbs",NA,John Deere,120,1.5558,497.0414,319.4764,1.5716,497.5981,316.6188
*,*,318.6718,OR,G:No-Till Irrigated Class,112,2019-05-03,2019-10-15,38500,30,339,40,0,"S:204.2lbs, B:2lbs, Zn:2.7lbs, Mg:3.5lbs",NA,John Deere,27,1.469,469.9915,319.9398,1.4828,472.5266,318.6718
6,1,319.4802,OR,G:No-Till Irrigated Class,113,2019-05-02,2019-10-15,43000,30,339,40,0,"B:2lbs, Zn:2.7lbs, Mn:3.5lbs",NA,John Deere,26,1.3223,424.873,321.3136,1.2937,413.3115,319.4802
28*,*,305.4414,NE,I:Conventional Irrigated Class,110,2019-04-23,2019-10-07,35000,30,240,8,0,S:40null,NA,John Deere,91,1.2879,391.8047,304.2198,1.3416,409.7802,305.4414
24*,1,310.9629,NE,I:Conventional Irrigated Class,111,2019-04-23,2019-10-07,37000,30,240,8,0,NA,NA,John Deere,91,1.3595,420.6834,309.4398,1.3595,422.754,310.9629
2,2,335.0296,NJ,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",114,2019-05-01,2019-10-10,37000,30,0,0,0,NA,NA,Case IH,30,1.2517,384.048,306.8211,1.25,418.787,335.0296
14,2,306.6608,NE,G:No-Till Irrigated Class,113,2019-05-13,2019-10-07,32400,30,200,40,0,NA,NA,Case IH,92,1.2534,376.6923,300.5364,1.2534,384.3686,306.6608
18,7,301.5439,PA,C:No-Till Non-Irrigated Class,112,2019-04-25,2019-09-30,40000,30,300,0,0,NA,Poultry:3tons,John Deere,30,1.6921,520.1004,307.3698,1.7087,515.2481,301.5439
19,8,300.3197,PA,C:No-Till Non-Irrigated Class,115,2019-04-11,2019-09-16,40000,30,250,0,90,NA,Poultry:3tons,John Deere,38,1.2638,383.7545,303.6513,1.2851,385.9408,300.3197
2,1,322.2517,WI,B:Conventional Non-Irrigated Class,114,2019-04-24,2019-11-08,36000,30,180,120,180,S:23lbs,NA,Case IH,100,1.2598,411.2959,326.4771,1.2502,402.8791,322.2517
9,2,311.083,MD,C:No-Till Non-Irrigated Class,117,2019-04-25,2019-09-24,35000,30,195,0,0,NA,NA,John Deere,35,1.4112,445.3136,315.5567,1.374,427.4281,311.083
12*,*,309.0582,MD,C:No-Till Non-Irrigated Class,120,2019-04-29,2019-09-24,35000,30,195,0,0,NA,Poultry:3tons,John Deere,40,1.3747,421.3335,306.4912,1.3843,427.8292,309.0582
6,1,339.4962,WA,I:Conventional Irrigated Class,99,2019-04-19,2019-10-11,40000,30,250,0,0,S:null,NA,John Deere,135,1.5,506.4928,337.6619,1.5,509.2443,339.4962
19*,*,303.5606,PA,G:No-Till Irrigated Class,108,2019-04-24,2019-09-23,38000,30,300,60,30,"S:30lbs, Zn:4qts, B:2qts",Swine:3000gal,Case IH,25,1.3065,399.0431,305.4291,1.2844,389.8932,303.5606
7,*,318.995,PA,G:No-Till Irrigated Class,113,2019-05-01,2019-09-30,37900,30,280,10,25,"S:25lbs, Zn:2qts, B:2qts",Poultry:3tons,Case IH,16,1.3354,418.2696,313.2167,1.3306,424.4548,318.995
*,1,323.1911,PA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",112,2019-04-19,2019-09-23,40000,30,300,40,50,NA,Poultry:3.5tons,Case IH,12,1.292,409.7136,317.1158,1.3147,424.8994,323.1911
4,2,335.0168,PA,C:No-Till Non-Irrigated Class,111,2019-04-25,2019-09-26,38500,30,300,50,50,"Zn:1gal, B:3qts, S:30lbs",Cattle:6300gal,Case IH,24,1.4298,475.1123,332.2928,1.3409,449.224,335.0168
16,1,304.9586,AL,G:No-Till Irrigated Class,117,2019-04-01,2019-09-13,36000,20,200,100,100,NA,NA,John Deere,120,1.2865,404.1914,314.1791,1.281,390.652,304.9586
3,1,335.936,PA,C:No-Till Non-Irrigated Class,112,2019-04-29,2019-09-26,38000,30,275,0,0,"S:30lbs, Zn:3qts, B:2qts",Cattle:6300gal,Case IH,15,1.3382,438.9248,327.9964,1.3182,442.8309,335.936
12*,*,324.1124,WA,I:Conventional Irrigated Class,104,2019-04-24,2019-10-15,40000,30,250,0,0,S:25lbs,NA,John Deere,106,1.5,481.9036,321.2691,1.5,486.1686,324.1124
17*,*,317.1429,WA,I:Conventional Irrigated Class,104,2019-04-22,2019-10-23,40000,30,250,0,0,S:25,NA,John Deere,121,1.5,466.4353,310.9569,1.5,475.7143,317.1429
9,1,319.0769,WA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",104,2019-04-28,2019-10-23,40000,30,250,0,0,S:25,NA,John Deere,73,1.5,457.0752,304.7168,1.5,478.6154,319.0769
18,1,307.2871,IN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",114,2019-04-25,2019-10-09,36000,30,400,80,300,B:2lbs,Poultry:2tons,John Deere,180,1.6088,498.2587,309.7083,1.6088,494.3635,307.2871
30,2,305.0731,DE,I:Conventional Irrigated Class,112,2019-04-17,2019-08-29,36000,30,345,35,250,"S:45lbs, B:1.5lbs, Zn:1lbs",NA,Case IH,100,1.5753,477.5592,303.1544,1.5918,485.6154,305.0731
2,2,320.7389,IN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",117,2019-05-16,2019-10-01,36000,30,250,0,0,NA,Poultry:4tons,Case IH,100,1.2624,388.3612,307.6372,1.2844,411.9571,320.7389
1,1,394.4922,IN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",117,2019-05-16,2019-10-01,38000,30,250,0,0,NA,Poultry:4tons,Case IH,100,1.4022,427.3797,304.7923,1.3347,526.5287,394.4922
*,*,350.9633,IN,B:Conventional Non-Irrigated Class,118,2019-05-17,2019-09-22,42000,30,250,0,0,NA,Poultry:4tons,Case IH,11,1.4023,441.5934,314.9065,1.3134,460.9552,350.9633
14*,1,307.285,NC,C:No-Till Non-Irrigated Class,117,2019-04-12,2019-08-15,38000,22,260,60,60,S:35,Poultry:1tons,Case IH,20,1.3087,394.1341,301.1646,1.3091,402.2668,307.285
16*,2,305.2941,NC,C:No-Till Non-Irrigated Class,120,2019-04-12,2019-08-19,38000,22,260,40,40,S:null,NA,Case IH,20,1.2761,396.5964,310.7879,1.2976,396.1496,305.2941
1,1,616.1953,VA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",111,2019-04-25,2019-08-30,52000,30,580,217,460,"B:11lbs, S:100lbs",NA,John Deere,46,1.2599,746.9472,592.8623,1.2599,776.3445,616.1953
21*,1,304.7011,ID,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",101,2019-04-15,2019-10-30,42000,30,302,155,100,"Zn:2qts, Mn:2qts, B:1pt",NA,Case IH,112,3.0413,935.7143,307.6692,3.0124,917.8817,304.7011
11,1,318.6973,MD,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-04-19,2019-10-01,40000,30,300,100,400,NA,Poultry:3tons,John Deere,40,1.4449,460.6813,318.8327,1.4394,458.7329,318.6973
1,1,330.4345,IL,D:No-Till Non-Irrigated Class,111,2019-06-04,2019-11-15,36750,15,220,40,50,NA,NA,Claas,58,1.923,577.1564,300.1333,1.6294,538.41,330.4345
10,3,310.8835,PA,C:No-Till Non-Irrigated Class,108,2019-04-29,2019-10-11,34000,30,225,20,0,NA,Swine:6000gal,John Deere,19,1.4556,451.5462,310.2131,1.4594,453.7034,310.8835
8,1,315.0644,AL,A:Conventional Non-Irrigated Class,117,2019-04-28,2019-09-19,34000,30,210,60,110,NA,NA,John Deere,25,1.2506,389.4336,311.3974,1.2502,393.8935,315.0644
6,1,328.8126,TN,A:Conventional Non-Irrigated Class,117,2019-04-27,2019-09-27,34000,30,210,60,110,NA,NA,John Deere,15,1.2523,396.216,316.3906,1.2506,411.213,328.8126
7,1,319.8948,KY,C:No-Till Non-Irrigated Class,115,2019-03-21,2019-09-07,38000,30,250,150,100,NA,NA,Case IH,50,1.2741,387.3753,304.0384,1.405,449.4522,319.8948
5,1,334.3313,AL,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-01,2019-08-29,37500,30,350,0,44,"S:null, Mg:null",Broiler:2tons,John Deere,295,1.2555,410.0097,326.5708,1.2961,433.3268,334.3313
